Lot URL,Lot Number,Est. Retail Value,Year,Make,Model,Expected Sale Date,Engine Type,State of Ownership Doc Type,Ownership Doc Type,Odometer Description,Cylinders,VIN,Grid/Row,Odometer Reading,Damage Description,Current Bid,My Bid,Item Number,Location,Sale Status,Repair Estimate
https://www.copart.com/lotDetail/22997827,22997827,"$85,000",1935,CADILLAC,2 DR.,04/03/2017 08:00 PM CDT,,CA,DIS/DLR/EXP ONLY CLEAN TITLE (P),ACTUAL,,315911,*OFF,6328.0,NORMAL WEAR,"$47,750",$0,78,CA - SUN VALLEY,Minimum Bid,$0
https://www.copart.com/lotDetail/36455616,36455616,"$67,500",1938,CADILLAC,FLEETWOOD,04/03/2017 08:00 PM CDT,,FL,CERTIFICATE OF TITLE (P),EXEMPT,,7270444,SK010,56491.0,MECHANICAL,"$19,800",$0,3129,FL - ORLANDO,Minimum Bid,$0
https://www.copart.com/lotDetail/41547826,41547826,"$95,000",1939,FORD,2 DOOR,04/03/2017 08:00 PM CDT,,NY,REGISTRATION DOCUMENT CARD,ACTUAL,,184799045,D010,2716.0,ALL OVER,"$29,000",$0,129,NY - NEWBURGH,Minimum Bid,$0
https://www.copart.com/lotDetail/24307427,24307427,"$71,337",1939,FORD,DELUXE,04/06/2017 09:00 AM CDT,,NJ,CERT OF TITLE-SALVAGE FLOOD,EXEMPT,,185087415,Y010,0.0,WATER/FLOOD,"$3,550",$0,0,NY - NEWBURGH,On Approval,"$71,337"
https://www.copart.com/lotDetail/33844136,33844136,"$47,600",1940,CADILLAC,SERIES 62,04/13/2017 12:00 PM CDT,,WI,CERTIFICATE OF TITLE (P),EXEMPT,,8325419,SL008,12952.0,MINOR DENT/SCRATCHES,$0,$0,0,IL - CHICAGO NORTH,Minimum Bid,$0
https://www.copart.com/lotDetail/37449976,37449976,"$67,500",1941,CHEVROLET,PICK UP,04/03/2017 08:00 PM CDT,,WI,CERTIFICATE OF TITLE (P),EXEMPT,,AF401757,*OFF,73620.0,NORMAL WEAR,"$19,800",$0,13,NM - ALBUQUERQUE,Minimum Bid,$0
https://www.copart.com/lotDetail/40751236,40751236,"$48,600",1946,CHEVROLET,PICKUP,04/03/2017 08:00 PM CDT,,CA,CERTIFICATE OF TITLE (P),EXEMPT,,BD793019,*OFF,27558.0,NORMAL WEAR,"$17,300",$0,17,NM - ALBUQUERQUE,Minimum Bid,$0
https://www.copart.com/lotDetail/30002336,30002336,"$33,600",1950,CADILLAC,SERIES 62,04/13/2017 01:00 PM CDT,,AZ,CERTIFICATE OF TITLE (P),EXEMPT,,506235259,*OFF,85192.0,NORMAL WEAR,$0,$0,0,NM - ALBUQUERQUE,Minimum Bid,$0
https://www.copart.com/lotDetail/41459726,41459726,"$68,000",1957,CHEVROLET,PICKUP,04/03/2017 08:00 PM CDT,,CA,CERTIFICATE OF TITLE (P),EXEMPT,,7A57W105469,*OFF,2642.0,NORMAL WEAR,"$23,300",$0,5,NM - ALBUQUERQUE,Minimum Bid,$0
https://www.copart.com/lotDetail/24307857,24307857,"$87,200",1957,CHEVROLET,BELAIRE,04/06/2017 09:00 AM CDT,,NJ,CERT OF TITLE-SALVAGE FLOOD,EXEMPT,,VB570109102,Y010,0.0,WATER/FLOOD,"$10,300",$0,0,NY - NEWBURGH,Minimum Bid,"$87,200"
